962,For sale apartment 3+kt 83 m² (Mezonet),"https://d18-a.sdn.cz/d_18/c_img_QR_MC/mKCCCON.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/predboj-predboj-/1115641676
963,For sale apartment 1+kt 38 m²,"https://d18-a.sdn.cz/d_18/c_img_gW_q/9heCDvO.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/prostejov--na-lukach/3713840972
964,For sale apartment 3+kt 119 m²,"https://d18-a.sdn.cz/d_18/c_img_QQ_Le/itOBDLU.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-zabehlice-na-slatince/4141184076
971,For sale apartment 4+1 145 m²,"https://d18-a.sdn.cz/d_18/c_img_QK_Jn/d31nQ8.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-liben-na-korabe/256926796
972,For sale apartment 3+kt 95 m²,"https://d18-a.sdn.cz/d_18/c_img_gW_q/cwDCDwI.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/prostejov--na-lukach/526169932
974,For sale apartment 2+kt 74 m²,"https://d18-a.sdn.cz/d_18/c_img_QN_J5/6qOBwiP.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/prostejov-prostejov-nam--t--g--masaryka/578966604
976,For sale apartment 1+1 29 m²,"https://d18-a.sdn.cz/d_18/c_img_QQ_Le/mWiBGzX.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/otvovice-otvovice-/550773836
980,For sale apartment 4+kt 105 m²,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lg/6l54AW.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/brno-stare-brno-nove-sady/3788923980
981,For sale apartment 3+kt 76 m²,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ld/h0DL7I.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/uvaly-uvaly-skvorecka/1041507404
982,For sale apartment 3+1 105 m²,"https://d18-a.sdn.cz/d_18/c_img_gW_q/AYuBrpq.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/kralupy-nad-vltavou-lobecek-marie-majerove/293786700
985,For sale apartment 1+kt 30 m²,"https://d18-a.sdn.cz/d_18/c_img_QM_Kb/9cNBG9H.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/otvovice-otvovice-/2211718220
986,For sale apartment 3+kt 82 m²,"https://d18-a.sdn.cz/d_18/c_img_QR_MD/4foeSA.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-vysocany-novovysocanska/3877360716
698,For sale apartment 3+kt 155 m²,"https://d18-a.sdn.cz/d_18/c_img_QM_Kb/IpqBOTU.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/karlovy-vary-karlovy-vary-nebozizek/2286511180
746,For sale apartment 3+kt 80 m²,"https://d18-a.sdn.cz/d_18/c_img_QN_J4/KUslwT.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/benesov-benesov-/1218212940
747,For sale apartment 1+1 36 m²,"https://d18-a.sdn.cz/d_18/c_img_QO_K0/OxNBwHv.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/teplice-trnovany-antala-staska/173216844
750,For sale apartment 2+kt 57 m²,"https://d18-a.sdn.cz/d_18/c_img_QR_MD/RHRlBa.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/liberec-liberec-xxx-vratislavice-nad-nisou-senioru/932336716
751,For sale apartment 3+kt 95 m² (Mezonet),"https://d18-a.sdn.cz/d_18/c_img_gT_r/RImQFQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/blansko--/3936806732
756,For sale apartment 3+1 61 m²,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jm/94GBNxS.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-krc-v-stihlach/1356797004
759,For sale apartment 2+1 56 m²,"https://d18-a.sdn.cz/d_18/c_img_QN_J5/8HtBwt5.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/kladno-kladno-moskevska/1469207628
760,For sale apartment 2+kt 58 m²,"https://d18-a.sdn.cz/d_18/c_img_QK_Jn/qhcBdXf.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-kamyk-imrychova/3668726860
771,For sale apartment 3+kt 126 m²,"https://d18-a.sdn.cz/d_18/c_img_QI_Jh/hw2exc.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-cerny-most-/1311555164
772,For sale apartment 2+kt 49 m²,"https://d18-a.sdn.cz/d_18/c_img_QM_Kb/cWhB9gR.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-dablice-u-spoju/1021507148
775,For sale apartment 3+1 65 m²,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lg/vbK4dh.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/novy-bor-novy-bor-palackeho/18613324
779,For sale apartment 3+kt 98 m²,"https://d18-a.sdn.cz/d_18/c_img_QN_J4/ZGTCtD.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-modrany-mezi-vodami/3302425676
780,For sale apartment 1+kt 47 m²,"https://d18-a.sdn.cz/d_18/c_img_QK_Jn/ItUc5L.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-karlin-rohanske-nabrezi/1918002252
781,For sale apartment 2+kt 77 m²,"https://d18-a.sdn.cz/d_18/c_img_QO_K1/qW7BLn0.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/brno-stare-brno-nove-sady/3319161932
783,For sale apartment 4+kt 241 m²,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lg/fPaxOc.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-karlin-u-sluncove/2178700364
784,For sale apartment 2+kt 54 m²,"https://d18-a.sdn.cz/d_18/c_img_gZ_p/w76Bqfw.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-smichov-podbelohorska/4234111324
787,For sale apartment 3+kt 111 m²,"https://d18-a.sdn.cz/d_18/c_img_gQ_q/TMPB5Yn.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-pitkovice-v-pitkovickach/1805370444
788,For sale apartment 2+kt 54 m²,"https://d18-a.sdn.cz/d_18/c_img_QM_Kb/ZNqC1x.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha--vratnicka/599196748
791,For sale apartment 4+kt 91 m²,"https://d18-a.sdn.cz/d_18/c_img_QN_J5/sdXBD4u.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-hlubocepy-geologicka/1309938764
793,For sale apartment 3+1 62 m²,"https://d18-a.sdn.cz/d_18/c_img_QQ_LX/lKt1OT.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/brno-bohunice-moldavska/4095525964
794,For sale apartment 3+kt 101 m² (Mezonet),"https://d18-a.sdn.cz/d_18/c_img_QL_Jv/PU1YDh.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-dolni-mecholupy-na-slavikove/116409932
795,For sale apartment 3+kt 62 m²,"https://d18-a.sdn.cz/d_18/c_img_QK_Jn/Nl3Of9.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/pardubice-pardubicky-vychodni/470840396
796,For sale apartment 1+kt 22 m²,"https://d18-a.sdn.cz/d_18/c_img_QI_Jh/lClelX.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/praha-zizkov-ondrickova/1877566540
797,For sale apartment 3+1 109 m²,"https://d18-a.sdn.cz/d_18/c_img_QK_Jg/su9jXU.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/en/detail/sale/flat/6-and-more/kladno-vrapice-vrapicka/2234065996
